Id,Prediction
0,85.3286391133
1,88.7706953211
2,86.4297929327
3,87.5525585563
4,88.3215969332
5,91.8556521917
6,90.9032089619
7,89.2387767763
8,88.0038012595
9,84.2755867557
10,94.6614915805
11,82.5716744908
12,92.7380614007
13,91.6364401495
14,86.3229336482
15,91.1303788926
16,89.7584920378
17,85.6847114788
18,84.1928067906
19,88.4701748071
20,87.4125926156
21,91.0297815101
22,84.4963311102
23,90.3709959104
24,90.1272755471
25,87.2907600131
26,85.1415842341
27,88.6873380387
28,89.337375162
29,89.9502200339
30,86.8352370836
31,90.6256619487
32,85.7018601357
33,83.3993955233
34,86.276298723
35,89.3673820715
36,85.3168776939
37,86.4144316939
38,88.9346123329
39,87.0348406413
40,82.9516378296
41,88.6054455693
42,87.6658352728
43,86.0505554681
44,83.7907573109
45,90.0668306792
46,81.3342205803
47,90.5838302244
48,85.8868782103
49,88.9068154411
50,86.5942157224
51,90.764512522
52,80.4682815773
53,83.3827415403
54,81.3356728878
55,84.7395376476
56,90.118433035
57,88.7946403604
58,85.6233801851
59,92.4189003837
60,89.6294538285
61,88.5273025851
62,88.2750776756
63,92.5669164706
64,82.763106472
65,88.8573182724
66,86.887153788
67,81.8698749864
68,88.2672837118
69,92.5557906875
70,89.0088293905
71,89.1221388926
72,84.1291976687
73,89.7663773001
74,86.9578495373
75,88.0442693952
76,90.7109177272
77,89.7188922536
78,86.4427644218
79,83.5342222528
80,90.5013735733
81,83.6872170805
82,85.8308936875
83,83.6300618503
84,88.9849431207
85,88.7742657413
86,83.4291046459
87,88.2688635637
88,88.9723072621
89,93.0284676886
90,94.4360840255
91,90.2706221921
92,89.083602603
93,91.4574667792
94,92.5595679892
95,91.7603960013
96,90.8538717938
97,89.5932852703
98,89.4568007639
99,88.1337817748
100,89.528193357
101,88.8018373923
102,84.0450326857
103,82.9446688689
104,92.6318641773
105,89.684405842
106,86.1700428603
107,86.3281577167
108,90.3726526421
109,87.6626276231
110,89.1919483901
111,85.1616083995
112,89.8102784045
113,88.2336406277
114,89.9522852737
115,86.0170267393
116,90.9356316846
117,89.1095124573
118,85.7032900827
119,89.1941996245
120,86.8250660976
121,90.4007488529
122,95.1001123412
123,85.9566046815
124,90.4602509877
125,91.6882137214
126,85.3799647798
127,81.6998850976
128,89.1079040258
129,81.3475701594
130,85.2173001784
131,90.4366885893
132,88.1943357185
133,87.5625571694
134,85.4152011653
135,88.138395286
136,91.4347646786
137,88.2298924761
138,91.6223996241
139,87.6379044075
140,85.4023887745
141,86.548055537
142,91.8940649461
143,84.1551756167
144,88.639341511
145,89.8441132346
146,79.8619906454
147,87.0363955988
148,88.3025747151
149,89.367223764
150,92.139368736
151,87.1946870202
152,85.4630929733
153,89.301982069
154,88.4522001179
155,90.2085253079
156,89.4612953807
157,89.0328199645
158,86.5254107756
159,92.0357840895
160,85.1561731009
161,91.2955822055
162,89.7113838058
163,87.9024559299
164,89.7977073328
165,90.182718315
166,88.4909556323
167,85.7171320432
168,87.8196874642
169,93.6293496791
170,87.3330649197
171,90.0956441049
172,93.0152700971
173,87.1454188318
174,90.0851835314
175,86.8665614006
176,89.4408036756
177,91.5990159279
178,86.9979020901
179,85.23230777
180,82.3875567425
181,89.7363535451
182,87.9431032938
183,88.5075338735
184,87.5597749221
185,89.9866860916
186,87.5801705302
187,87.6541657469
188,86.9272984922
189,88.8229967454
190,85.8876009132
191,87.8151643948
192,82.728499448
193,90.7646686237
194,86.638464072
195,91.9064689983
196,86.03712316
197,95.8679472336
198,90.4177674592
199,84.5028190863
200,91.0362407987
201,84.6904763212
202,91.563965652
203,86.2924768446
204,89.0767202177
205,85.3334050905
206,91.427459282
207,90.6296722435
208,89.9794258593
209,89.928639394
210,88.2413917766
211,86.7244370593
212,83.6317058958
213,85.52796911
214,88.0195033087
215,86.7367311219
216,91.1447069993
217,94.0119579939
218,92.4492688108
219,88.8503366123
220,87.903855861
221,85.9036696373
222,90.6771217492
223,84.9695327939
224,90.3305299156
225,87.8595594402
226,84.2420562313
227,87.5672364049
228,88.9217493704
229,85.0124503913
230,83.0993147842
231,90.3557728206
232,84.4523961918
233,84.724267726
234,92.8991019992
235,90.130303298
236,88.536848228
237,86.4077245631
238,86.2362520083
239,88.2309333829
240,87.9576870708
241,94.9072155637
242,87.9620031779
243,86.7921445464
244,85.7037976664
245,87.1556712537
246,85.7540113158
247,85.6620237033
248,88.2355197381
249,85.064624011
250,89.1825498213
251,91.47824894
252,93.2632038054
253,87.6350429931
254,88.4132505661
255,92.3479762277
256,86.3464116389
257,83.3299179253
258,90.40720856
259,88.6117864726
260,88.9227432787
261,84.2186932825
262,93.5154465898
263,87.8669423337
264,93.2548196313
265,87.7603531948
266,92.9782941637
267,93.4734239698
268,90.9904499387
269,89.0039769305
270,83.6060994139
271,88.861259039
272,87.8719915925
273,87.4578759572
274,82.7609208189
275,86.6061756936
276,85.0714841571
277,88.389748335
278,84.8402928608
279,86.9999153867
280,88.2660227757
281,91.0674316293
282,89.3597381021
283,79.7828343089
284,90.0054569682
285,90.0006122136
286,92.2644470234
287,88.7948478635
288,84.828494641
289,88.8160498193
290,85.7470098691
291,86.8857069178
292,88.416036059
293,83.1976066499
294,87.2831059032
295,85.5751655554
296,88.9230666325
297,83.3253223205
298,90.8836407656
299,86.394921662
300,91.7770785773
301,91.3094647075
302,86.232546949
303,90.626716132
304,85.6181413152
305,90.6955664587
306,85.2198742947
307,89.415128705
308,91.57432865
309,86.6661821554
310,83.1095903508
311,88.6849832617
312,88.9380183131
313,92.3339958889
314,82.225353457
315,88.2178093414
316,90.5910051404
317,89.7525606135
318,85.5964730197
319,94.0723728442
320,86.4725616722
321,88.6104829446
322,89.1387463262
323,88.2062067518
324,86.8956793043
325,93.4317402026
326,86.4850527398
327,88.1986336958
328,92.0984949533
329,89.2673653374
330,90.2395898004
331,85.0939411412
332,86.3530552511
333,87.4349951518
334,85.7089200004
335,91.0924084919
336,89.3376564318
337,84.8946089174
338,91.0979446848
339,86.6915296589
340,88.9091898849
341,91.265759413
342,82.9027117885
343,92.7480726796
344,80.712733274
345,86.4644101074
346,90.7400349192
347,86.0546924682
348,87.7531793291
349,89.4323508475
350,89.8824264269
351,88.1598410915
352,91.3220068473
353,85.4487820444
354,84.9654132063
355,85.6678278304
356,88.9509772016
357,87.4628749494
358,89.6739592302
359,87.1460528673
360,88.3595311113
361,88.1869438061
362,88.5885859485
363,87.8984163934
364,90.9287957338
365,89.1786115185
366,89.463086202
367,90.496705773
368,84.4279043265
369,87.5458509079
370,86.2022242543
371,87.5369809417
372,89.2401061288
373,90.8877344416
374,88.9804164679
375,94.2123038591
376,88.4246366718
377,84.3876156364
378,87.9838680321
379,89.4464582788
380,89.1042041743
381,86.6342809537
382,86.4153670275
383,88.1111448881
384,93.8655443437
385,82.0947869696
386,85.3061491332
387,89.8300157269
388,91.8018920922
389,87.3532214773
390,84.9653531076
391,88.4453470304
392,93.6501211922
393,90.2960333699
394,89.2326793749
395,90.1107389984
396,90.3495962001
397,87.8446321913
398,83.2331731056
399,89.1885046705
400,85.6333617906
401,90.6787190288
402,87.0692890198
403,85.917708653
404,86.8573417736
405,92.3713899745
406,84.2114788252
407,87.7252425151
408,89.2020944502
409,87.7420365214
410,85.8747309796
411,88.4558521625
412,91.0932823698
413,87.9304892551
414,87.7217658319
415,86.5582029117
416,90.5908437846
417,85.5447138569
418,89.8409155343
419,90.8919310891
420,83.0946152539
421,88.7073778558
422,92.5263530758
423,88.5463662526
424,88.6333346347
425,90.2002308135
426,88.5749244012
427,91.4554186422
428,91.6253120602
429,89.264966015
430,88.584562548
431,87.2779107787
432,92.1551591947
433,80.5145459925
434,87.2805064943
435,86.9679899424
436,88.23222358
437,87.070728211
438,88.3837390472
439,90.6290281537
440,85.5058803024
441,87.1360607747
442,89.0033599888
443,88.6625786522
444,89.0361997913
445,90.2242911973
446,88.0467017187
447,89.9219562867
448,88.9152541138
449,92.8745131482
450,91.1383780667
451,86.1072704288
452,83.2622412481
453,90.0870423089
454,86.7387926861
455,90.6587652577
456,89.5017416563
457,91.1009087626
458,88.4179231595
459,85.4670020798
460,88.2604535857
461,89.654885344
462,86.8800173342
463,84.4562202238
464,87.1751324645
465,83.8054938849
466,91.1435939466
467,88.5570295841
468,88.4857330653
469,91.6227342659
470,89.4784799558
471,89.6189578301
472,92.7819521649
473,86.959408884
474,92.1631051137
475,90.1400541249
476,85.3961294672
477,87.7933613329
478,85.7351612446
479,87.677164096
480,88.4477571563
481,88.2506951729
482,89.7710133925
483,88.5724190424
484,93.0071722966
485,91.5557637946
486,91.1791167524
487,92.4228055391
488,88.8747089543
489,83.8647951522
490,84.6335814349
491,88.5933905606
492,87.4016153238
493,90.0879208992
494,87.850931919
495,86.1489749908
496,84.3819706411
497,92.6578492407
498,88.974965431
499,94.255908779
500,84.5764021482
501,89.7538954669
502,87.8149992901
503,90.3513089201
504,87.7324264773
505,84.4344637132
506,88.3366670818
507,90.2568991063
508,87.9542603735
509,86.2828108285
510,90.1225972752
511,89.453208575
512,86.8892459387
513,85.9945775308
514,89.5925557897
515,88.5068845574
516,91.2413121017
517,91.6300552664
518,87.9225966117
519,86.3678073664
520,88.0216012211
521,88.5759391142
522,88.8976809517
523,88.3246570212
524,88.6892247272
525,88.7005143413
